exp,qmax.mg,sedmass.mg
JBHF,5.967,1020
JBHS,12.5,1000
JBLF,5.9085,1010
JBLS,12.5,1000
TAHF,2.2542,1020
TAHS,10.8,1000
TALF,2.2542,1020
TALS,11.016,1020
WCHF,1.1271,510
WCHS,5.256,486.666667
WCLF,1.105,500
WCLS,5.22,483.333333
WIHF,1.163933333,526.666667
WIHS,5.508,510
WILF,1.134466667,513.333333
WILS,5.328,493.333333
WMHF,1.075533333,486.666667
WMHS,5.436,503.333333
WMLF,1.112366667,503.333333
WMLS,5.544,513.333333
PCHF,1.090266667,493.333333
PCHS,5.148,476.666667
PCLF,1.105,500
PCLS,5.148,476.666667
PIHF,1.097633333,496.666667
PIHS,5.22,483.333333
PILF,1.097633333,496.666667
PILS,5.436,503.333333
PMHF,1.068166667,483.333333
PMHS,5.184,480
PMLF,1.090266667,493.333333
PMLS,5.256,486.666667
