"kdes","kads","qm","m","X"
0.00225211266302594,11.0198881719259,5.83800281150904,59.4737470774875,"JBHF"
0.252141590439958,104.408232139808,10.1644146717206,463.128222699005,"JBHS"
1.05020000001899,1.49000256577381e-05,999999.9599,4.09099999998386,"JBLF"
0.397400000073933,0.020629999930577,1e+06,15600,"JBLS"
0.869339065845409,3.50629281992143,6.93532504697503,127.039023906206,"TAHF"
1.46724643501628,2.11517890097435,75.2867761100173,198.722465799994,"TAHS"
1.23935191187474,0.559434458147212,1e+06,1e+06,"TALF"
0.866058615600629,1.56220023295184,176.506057499526,340.671916030155,"TALS"
1.95750520992632,6.73709410398127,5.83609734300383,35.185032140006,"WCHF"
0.754624558285677,3.59187437015684,18.424154123009,75.3379018274547,"WCHS"
0.557449993443537,3.20352771937538,28.8877388884834,127.839797117113,"WCLF"
2.59452183853925,1.39783775343627,818.431329538294,260.390833774937,"WCLS"
0.645355378470214,2.0330418797343,8.73879240309572,160.895760765389,"WIHF"
3.12610458480522,2.53811822620298,93.2172207843696,133.277821703859,"WIHS"
0.918000000016406,0.53290000001649,999999.9998,999999.9808,"WILF"
0.680448375256493,5.28272013383679,8.60607803915281,48.4916178232209,"WILS"
0.648169038441893,1.40561669520478,65.7778271871967,1289.49363628511,"WMHF"
1.6363169951239,2.1663884737233,38.6481899831148,120.432370427526,"WMHS"
1.00646198458731,2.07257159379193,17.5279338437417,142.393449765243,"WMLF"
0.846655348996084,3.35665397899199,12.5000029099209,64.8008002899769,"WMLS"
0.00104504166431596,12.2502729127394,0.180156513263086,22.8424915278969,"PCHF"
2.12273212457648,1.8388358262178,32.8306521399924,85.2199294418266,"PCHS"
1.65288885606296,1.68166896102884,5342.01073817786,8892.86372241688,"PCLF"
1.87396267331552,0.564871702357639,3924.94440759428,1092.88251185613,"PCLS"
0.00476169598195852,33.1125153830158,0.600190835642334,41.908027289983,"PIHF"
1.96572638500037,2.89927786101263,44.0381734200246,137.264571400009,"PIHS"
0.992127344667804,2.72806991230556,20.415152831188,69.3372166434281,"PILF"
0.71396620093811,1.66326609901679,71.1358431400022,99.8194662499841,"PILS"
16.542065412628,4.46680904664376,224.671082116934,622.260096053651,"PMHF"
3.09535178338871,2.61299979648077,32.8650820360377,76.8483188486324,"PMHS"
1.04085529295528,1.35964645259223,46.1706958924668,217.539972437009,"PMLF"
0.7792789045169,3.8286075967342,49.713417954067,313.033243123761,"PMLS"
