"kdes","kads","X"
0.856538796646927,0.68080282535671,"JBHF"
0.752215407504535,1.31839356867943,"JBHS"
0.768294088352471,2.63506745939004,"JBLF"
0.397425296052047,1.31915694236933,"JBLS"
1.08111333158309,0.18406487615396,"TAHF"
1.51895819623486,0.790573675087884,"TAHS"
1.23926468558607,0.559394632011248,"TALF"
0.867501759125096,0.806109735184894,"TALS"
2.33184314672682,1.04718984551497,"WCHF"
0.810834422873198,0.842201392301187,"WCHS"
0.559902331213897,0.712454239345562,"WCLF"
2.59689466431281,4.39452857158054,"WCLS"
0.680420010168478,0.108785176160661,"WIHF"
3.0608403824649,1.73008843963284,"WIHS"
0.917950179052298,0.532934260847081,"WILF"
0.693424188620987,0.890742870347194,"WILS"
0.651199606606769,0.0716030760910775,"WMHF"
1.67239197389699,0.689476850026529,"WMHS"
1.01094339548445,0.253186934370693,"WMLF"
0.856631338080479,0.63147452114402,"WMLS"
1.6842095570129,0.0787098583204341,"PCHF"
2.17262968950375,0.703212694745673,"PCHS"
1.65191865542242,1.00943657290704,"PCLF"
1.87200042377084,2.02612244122262,"PCLS"
2.18930480142561,0.375218280567287,"PIHF"
2.00531804751564,0.922509078079802,"PIHS"
0.999866312954745,0.790981728263198,"PILF"
0.715562637766765,1.17700867312532,"PILS"
17.1968473067855,1.67532096533792,"PMHF"
3.15909486779079,1.10566147763026,"PMHS"
1.04271480458739,0.287695377283555,"PMLF"
0.781358757694894,0.604240086939095,"PMLS"
