X,RMSE,AAE,MEF,SpCorr
JBHF,0.347552384,0.318964593,0.835306286,0.913223321
JBHS,0.246332117,0.211545328,0.960153001,0.951502571
JBLF,0.079480986,0.054084948,0.932599133,0.439155033
JBLS,0.082531788,0.064238097,0.929487285,0.902707567
TAHF,0.3835927,0.2826954,0.6566464,0.547619
TAHS,0.374503853,0.241732294,0.736887982,0.738095238
TALF,0.128431282,0.097721521,0.918235189,0.390360029
TALS,0.08479601,0.074812823,0.940481069,0.609937546
WCHF,0.9627036,0.5881213,0.2170017,0.07142857
WCHS,0.9868803,0.6277704,0.2975064,0.6190476
WCLF,0.111160475,0.089142628,0.597159344,0.152203887
WCLS,0.257672528,0.147002987,-0.598677394,0.292770022
WIHF,0.076887549,0.047173579,0.809649428,0.904761905
WIHS,0.052721392,0.045202066,0.893876819,0.742528282
WILF,0.060801581,0.038657678,0.921894508,0.976190476
WILS,0.051305743,0.040083221,0.839046575,0.975900073
WMHF,0.103630405,0.085708243,0.788908713,0.73565212
WMHS,0.1474736,0.09382269,0.4300247,0.9221722
WMLF,0.114443682,0.084076285,0.838675832,0.463552535
WMLS,0.077174039,0.063459387,0.815347272,0.219577516
PCHF,0.3575005,0.2482019,-0.1964089,-0.1077864
PCHS,0.158986335,0.089844281,0.753953275,0.561142542
PCLF,0.105536183,0.087472331,0.739293944,0.902707567
PCLS,0.05952273,0.047616711,0.81713281,0.913223321
PIHF,0.056918985,0.036422556,0.807031482,0.850314646
PIHS,0.065881784,0.050126828,0.732408751,0.561142542
PILF,0.055147649,0.041752916,0.891870996,0.951502571
PILS,0.028580105,0.020464562,0.92104197,0.938590635
PMHF,0.099152768,0.062221833,0.833260204,0.684917491
PMHS,0.089822877,0.066203283,0.388821253,0.642857143
PMLF,0.081327983,0.065696701,0.890494457,0.849805035
PMLS,0.044667079,0.036475639,0.91930447,0.875172349
